31,4
93,3
181,2
257,1
55,17
140,8
86,14
266,10
13,12
69,12
207,16
144,26
177,34
14,29
77,33
115,29
161,33
267,30
31,34
136,37
260,42
202,45
110,49
133,48
224,49
93,54
164,67
120,58
187,59
53,60
241,61
85,67
225,70
188,68
210,87
8,79
34,78
61,76
122,87
251,98
188,91
246,78
233,90
57,90
69,93
95,92
165,105
81,100
36,105
59,101
103,104
131,107
24,107
122,107
54,111
83,111
144,124
74,115
192,116
111,116
98,121
125,119
12,123
28,127
117,125
77,138
127,135
159,132
181,135
215,131
241,133
59,135
153,137
259,137
2,141
49,142
157,151
27,147
97,150
36,155
136,155
