8,2
74,0
236,3
31,7
20,11
37,19
214,12
226,16
153,20
14,22
22,27
85,28
140,33
232,35
193,35
177,36
39,35
214,38
21,38
113,38
127,48
66,54
139,54
91,57
55,69
193,69
146,71
154,71
81,74
95,74
119,81
184,77
1,83
132,80
167,83
45,86
63,94
126,96
143,96
26,103
113,102
226,109
6,111
41,118
101,113
131,115
190,115
206,112
176,117
244,118
212,120
100,128
234,126
5,133
67,128
85,128
123,131
24,136
171,137
75,141
104,141
216,142
35,151
127,147
147,146
208,147
20,150
177,148
197,151
219,151
6,153
77,154
145,155
160,155
98,161
25,162
53,165
159,165
107,170
120,171
267,171
200,174
150,177
119,182
77,183
